TradeDate,RIC,SecurityDescription,Rate,Tenor,MaturityDate
2023-08-23,EUROSTR=,Euro Short Term Rate,3.6519999504089355,ON,2023-08-24
2023-08-23,EURESTSW=,Euro Spot Week ESTR Overnight Index Swap,3.640199899673462,SW,2023-09-01
2023-08-23,EUREST2W=,Euro 2 Week ESTR Overnight Index Swap,3.641400098800659,2W,2023-09-08
2023-08-23,EUREST3W=,Euro 3 Week ESTR Overnight Index Swap,3.6428000926971436,3W,2023-09-15
2023-08-23,EUREST1M=,Euro 1 Month ESTR Overnight Index Swap,3.6661999225616455,1M,2023-09-25
2023-08-23,EUREST2M=,Euro 2 Month ESTR Overnight Index Swap,3.7044999599456787,2M,2023-10-25
2023-08-23,EUREST3M=,Euro 3 Month ESTR Overnight Index Swap,3.7360000610351562,3M,2023-11-27
2023-08-23,EUREST4M=,Euro 4 Month ESTR Overnight Index Swap,3.7560999393463135,4M,2023-12-27
2023-08-23,EUREST5M=,Euro 5 Month ESTR Overnight Index Swap,3.771399974822998,5M,2024-01-25
2023-08-23,EUREST6M=,Euro 6 Month ESTR Overnight Index Swap,3.7816998958587646,6M,2024-02-26
2023-08-23,EUREST7M=,Euro 7 Month ESTR Overnight Index Swap,3.782399892807007,7M,2024-03-25
2023-08-23,EUREST8M=,Euro 8 Month ESTR Overnight Index Swap,3.7832000255584717,8M,2024-04-25
2023-08-23,EUREST9M=,Euro 9 Month ESTR Overnight Index Swap,3.774399995803833,9M,2024-05-27
2023-08-23,EUREST10M=,Euro 10 Month ESTR Overnight Index Swap,3.762700080871582,10M,2024-06-25
2023-08-23,EUREST11M=,Euro 11 Month ESTR Overnight Index Swap,3.7507998943328857,11M,2024-07-25
2023-08-23,EUREST1Y=,Euro 1 Year ESTR Overnight Index Swap,3.727299928665161,1Y,2024-08-26
