TradeDate,RIC,SecurityDescription,Rate,Tenor,MaturityDate
2023-08-23,SONIAOSR=,UK Pound Sterling Overnight Index SONIA,5.1859002113342285,ON,2023-08-24
2023-08-23,GBPSWOIS=,UK Pound Sterling Spot Week SONIA Overnight Index Swap,5.1570000648498535,SW,2023-08-30
2023-08-23,GBP1MOIS=,UK Pound Sterling 1 Month SONIA Overnight Index Swap,5.219299793243408,1M,2023-09-25
2023-08-23,GBP2MOIS=,UK Pound Sterling 2 Month SONIA Overnight Index Swap,5.338600158691406,2M,2023-10-23
2023-08-23,GBP3MOIS=,UK Pound Sterling 3 Month SONIA Overnight Index Swap,5.443999767303467,3M,2023-11-23
2023-08-23,GBP4MOIS=,UK Pound Sterling 4 Month SONIA Overnight Index Swap,5.524199962615967,4M,2023-12-27
2023-08-23,GBP5MOIS=,UK Pound Sterling 5 Month SONIA Overnight Index Swap,5.583600044250488,5M,2024-01-23
2023-08-23,GBP6MOIS=,UK Pound Sterling 6 Month SONIA Overnight Index Swap,5.64870023727417,6M,2024-02-23
2023-08-23,GBP7MOIS=,UK Pound Sterling 7 Month SONIA Overnight Index Swap,5.688600063323975,7M,2024-03-25
2023-08-23,GBP8MOIS=,UK Pound Sterling 8 Month SONIA Overnight Index Swap,5.724599838256836,8M,2024-04-23
2023-08-23,GBP9MOIS=,UK Pound Sterling 9 Month SONIA Overnight Index Swap,5.753600120544434,9M,2024-05-23
2023-08-23,GBP10MOIS=,UK Pound Sterling 10 Month SONIA Overnight Index Swap,5.779900074005127,10M,2024-06-24
2023-08-23,GBP11MOIS=,UK Pound Sterling 11 Month SONIA Overnight Index Swap,5.797599792480469,11M,2024-07-23
2023-08-23,GBP1YOIS=,UK Pound Sterling 1 Year SONIA Overnight Index Swap,5.821499824523926,1Y,2024-08-23
